instance_name,group,pca_1,pca_2,tsne_1,tsne_2,umap_1,umap_2
iptv-epg_se_2026-01-06,Instances_IPTV,0.07041810459026299,-0.08909657775999469,-9.856239,-16.859102,12.122098,2.607898
iptv-epg_se_2026-01-07,Instances_IPTV,0.05220455842472704,-0.13045662990478668,-9.128031,-17.179962,12.1539755,2.5507317
iptv-epg_sg_2026-01-04,Instances_IPTV,0.32959449517569983,0.07706284019966947,2.463865,21.273874,18.567947,15.744618
iptv-epg_sg_2026-01-05,Instances_IPTV,0.3259026268528008,0.35556535049177773,1.0152568,24.900162,19.021051,15.278326
iptv-epg_sg_2026-01-06,Instances_IPTV,0.08939713001477656,0.0408938752818403,-10.388888,-7.1949687,11.277471,0.65182173
iptv-epg_sg_2026-01-07,Instances_IPTV,0.06677728066861088,-0.01823957085667738,-8.26302,-8.514811,10.975741,1.3247029
iptv-epg_si_2026-01-04,Instances_IPTV,0.4715758133802782,0.1387450028746653,8.156181,27.306015,19.631319,15.099552
iptv-epg_si_2026-01-05,Instances_IPTV,0.303676167510352,0.06578062219212844,1.9442135,19.087713,18.218494,15.997449
iptv-epg_si_2026-01-06,Instances_IPTV,-0.4484637918231017,-0.6372781574348778,6.6551476,-8.017884,9.6868105,4.1030307
iptv-epg_si_2026-01-07,Instances_IPTV,-0.4484637918231017,-0.6372781574348778,6.6551476,-8.017884,9.653605,4.144365
iptv-epg_sv_2026-01-04,Instances_IPTV,0.4749424803907477,0.03859884895549859,31.279854,-7.210469,6.7845383,11.235507
iptv-epg_sv_2026-01-05,Instances_IPTV,0.49595213935505666,0.02440112962840968,30.242327,-6.988868,6.924808,11.018707
iptv-epg_sv_2026-01-06,Instances_IPTV,0.03813074917114534,-0.04539518680405841,-8.3958,-10.307057,11.196635,1.3582478
iptv-epg_sv_2026-01-07,Instances_IPTV,0.062221529998588654,-0.0017216212453854407,-11.128924,-8.791753,11.481146,0.83056384
iptv-epg_th_2026-01-04,Instances_IPTV,0.4316776286613372,0.03178028815941347,9.43967,14.203425,17.489395,13.031846
iptv-epg_th_2026-01-05,Instances_IPTV,0.45493825060086845,-0.010727480079217089,9.658004,14.707185,17.520163,13.248304
iptv-epg_th_2026-01-06,Instances_IPTV,0.01493590622696861,-0.09019480357316345,-5.5160117,-9.1910925,10.671602,1.9401411
iptv-epg_th_2026-01-07,Instances_IPTV,-0.013813680336911882,-0.13177516655864796,-4.4541354,-9.699784,10.648572,2.2493339
iptv-epg_tr_2026-01-04,Instances_IPTV,0.5196554847041014,0.1093025453395573,11.972695,20.168333,17.889517,14.3175335
iptv-epg_tr_2026-01-05,Instances_IPTV,0.5314709417637532,0.012985355437681534,26.26514,-6.62305,7.54864,9.978278
iptv-epg_tr_2026-01-06,Instances_IPTV,0.1461623258217717,-0.09005447910387376,-11.496007,-17.282072,12.222112,2.9117615
iptv-epg_tr_2026-01-07,Instances_IPTV,0.14555130441601583,-0.07350899306927294,-11.785738,-18.718842,12.489542,2.8801231
iptv-epg_tw_2026-01-04,Instances_IPTV,0.44492991023814754,-0.02335912238698079,9.635928,13.1184845,17.336027,12.9737
iptv-epg_tw_2026-01-05,Instances_IPTV,0.4878552241793922,0.004286680913239138,10.082718,14.064425,17.570944,13.164121
iptv-epg_tw_2026-01-06,Instances_IPTV,0.04897078941761346,-0.1603539630437807,-3.0631976,-8.938334,10.895806,2.5685446
